Tilt,Normal,DE_hat_b,PR_hat_GB,E_hat_b
110,2011,0.017202465789473678,0.0006578947368421054,0.016224386770976894
110,201111,0.01697396405529954,0.00023041474654377875,0.014775293474476002
110,201313,0.01853277515479876,0.00019349845201238394,0.015763824139356113
110,201919,0.023401281385281383,0.0005411255411255411,0.02313665796840644
110,2077,0.013362762475822049,0.0003868471953578336,0.010742482844969889
110,2099,0.012674469210174028,0.00016733601070950468,0.011035207529785164
110,211,0.25402340625,0.015625,0.2521067551456512
110,311,1.3961651666666668,0.08333333333333333,0.4689235349128003
110,322,0.26916952,0.02,0.14020180548509859
110,411,0.20489782857142855,0.014285714285714282,0.14485042583877342
110,433,0.2852716388888889,0.013888888888888888,0.14411052161279503
110,511,0.8743335,0.041666666666666664,0.328553816126518
110,522,0.06372537190082644,0.008264462809917356,0.06422669356691002
110,544,0.193764125,0.015625,0.21416522393777995
110,611,0.07794836419753087,0.0030864197530864196,0.0801696063635346
110,733,0.09274849704142013,0.0029585798816568042,0.04810860746846356
110,755,0.13513165454545456,0.004545454545454546,0.0614776625573655
110,766,0.0819713024691358,0.0030864197530864204,0.0835254655942787
110,855,0.031966833333333326,0.000946969696969697,0.029564879761099887
110,944,0.02749148410174881,0.0007949125596184419,0.024267406855614435
110,955,0.05512008984375,0.0019531249999999998,0.027238131281417322
110,977,0.11773875147928993,0.0029585798816568055,0.0604885738479901
210,1021,0.056298318181818185,0.0002164502164502165,0.0059318323513058505
210,1063,0.04679424155844157,0.00012987012987012984,0.003338598963037573
210,11105,0.015616747386759581,0.00011614401858304297,0.0027592206585047643
210,1121,0.042795037807183356,0.0003780718336483931,0.009119169491865345
210,1142,0.06156944378698224,0.00014792899408284024,0.0060654056275324325
210,1184,0.03159211322132943,7.304601899196495e-05,0.003299448073236539
210,12105,0.009417142177589854,5.285412262156446e-05,0.0007630011649010814
210,1221,0.05850487334593572,0.00018903591682419658,0.006154665461411122
210,13126,0.025588058636363632,4.5454545454545465e-05,0.0022009345203963747
210,1321,0.02817788461538462,0.0003205128205128205,0.006586178273678214
210,1342,0.04696756552419355,0.00010080645161290323,0.004490447764541142
210,1363,0.1103647622504537,0.0003629764065335753,0.014815597425637992
210,14105,0.025921053427895982,4.7281323877068567e-05,0.0026213598616666605
210,1421,0.042863371666666664,0.00016666666666666666,0.0048424040793902615
210,15147,0.020591993842364535,6.157635467980295e-05,0.0037827675770687945
210,1521,0.037201987692307696,0.00030769230769230776,0.009283422521389518
210,1542,0.031085637815126046,8.403361344537814e-05,0.0028935236708154673
210,1584,0.05375751200000001,0.0001,0.003351383011556558
210,16105,0.019749658284023665,3.698224852071005e-05,0.0021226425000608964
210,16147,0.009513721944444447,2.7777777777777776e-05,0.0008778766611347268
210,1621,0.05907473076923078,0.00014792899408284024,0.006591323667900506
210,1663,0.03481059141494436,7.94912559618442e-05,0.0031743326140084823
210,17105,0.028413220272904483,9.746588693957115e-05,0.0037837847381292228
210,17126,0.023408555555555557,3.248862897985704e-05,0.0023287061032456775
210,17147,0.008922719823100935,5.2029136316337144e-05,0.001625020813772496
210,17168,0.018899286337955828,2.568053415511042e-05,0.0016234637922718704
210,1721,0.035467778106508877,0.00029585798816568053,0.008522401911615988
210,1742,0.03526494294294294,7.507507507507509e-05,0.003283997870276063
210,1763,0.041230951814396184,0.00011897679952409279,0.008003971472674008
210,18105,0.03953505831903946,5.7175528873642086e-05,0.002510502391816695
210,18147,0.01858431455026455,2.6455026455026456e-05,0.0018458143673234502
210,1821,0.043567289999999995,0.00016666666666666666,0.0048818268702278695
210,19105,0.04676618112244897,0.00012755102040816328,0.006414727436360861
210,19126,0.02820424515884502,3.4456619116532276e-05,0.0017770425899258037
210,19168,0.008900193846153847,2.197802197802198e-05,0.0007513663612435676
210,19189,0.016380865659777425,3.9745627980922105e-05,0.0028746501130113445
210,1921,0.05375171449704142,0.00029585798816568053,0.012734771511412016
210,1942,0.03683778137651822,6.747638326585695e-05,0.0037556665320639545
210,1963,0.029741938321536897,0.00010111223458038426,0.005292965218478764
210,1984,0.05348072116402117,8.818342151675484e-05,0.0035177538269707525
210,20147,0.014713415262397686,2.4073182474723152e-05,0.0013556816249709342
210,20189,0.010534620175438596,1.754385964912281e-05,0.0009783282471986135
210,2021,0.03524380177514793,0.0001479289940828402,0.004121818455892607
210,2063,0.02814566666666667,4.432624113475176e-05,0.0027253069586500077
